2023-08-16T14:45:15Z
 
Index_No. VRHandPos.x VRHandPos.y VRHandPos.z HandPos.x HandPos.y HandPos.z ElbowPos.x ElbowPos.y ElbowPos.z ShoulderPos.x ShoulderPos.y ShoulderPos.z Time_Stamp Distance
3134 -0.733804 -0.4396598 1.00826 -0.7041777 -0.23634 1.162849 -0.6962433 0.133448 1.22694 -0.6866871 0.3673009 1.266456 2284.464 6.383351
3134 -0.733342 -0.4397658 1.008563 -0.7036409 -0.2364733 1.16321 -0.6961274 0.1333904 1.227052 -0.6866395 0.367252 1.266532 2284.481 6.383597
3134 -0.7328052 -0.439899 1.008924 -0.7023505 -0.2367887 1.164022 -0.6958762 0.1332227 1.227331 -0.6866005 0.3671076 1.266723 2284.497 6.383893
3134 -0.7315148 -0.4402144 1.009736 -0.7017153 -0.2369234 1.164422 -0.695748 0.1331563 1.227472 -0.6865698 0.3670523 1.266821 2284.51 6.384549
3134 -0.7308798 -0.4403491 1.010136 -0.7017153 -0.2369234 1.164422 -0.695748 0.1331563 1.227472 -0.6865698 0.3670523 1.266821 2284.549 6.384873
3134 -0.7308798 -0.4403491 1.010136 -0.7011406 -0.2370657 1.16481 -0.6956275 0.1330711 1.227639 -0.6865585 0.366975 1.266966 2284.577 6.384873
3134 -0.7303049 -0.4404914 1.010524 -0.7003695 -0.2373044 1.165395 -0.6954079 0.1328952 1.227973 -0.6865286 0.3668104 1.267277 2284.59 6.385192
3134 -0.7295339 -0.44073 1.011109 -0.7001197 -0.2373673 1.165571 -0.6953232 0.1328483 1.228116 -0.6865012 0.3667627 1.267437 2284.602 6.385677
3134 -0.729284 -0.4407929 1.011285 -0.700053 -0.2373749 1.165649 -0.6952572 0.1328423 1.2282 -0.6864426 0.3667522 1.267549 2284.616 6.385824
3134 -0.7292175 -0.4408007 1.011363 -0.7000676 -0.2373514 1.16563 -0.6952449 0.1328444 1.228247 -0.686406 0.3667437 1.267655 2284.628 6.385893
3134 -0.729232 -0.4407771 1.011344 -0.7000676 -0.2373514 1.16563 -0.6952449 0.1328444 1.228247 -0.686406 0.3667437 1.267655 2284.649 6.385879
3134 -0.729232 -0.4407771 1.011344 -0.7001615 -0.237284 1.165532 -0.6952809 0.1328599 1.228281 -0.6863829 0.3667427 1.267773 2284.681 3.033441
3134 -0.729326 -0.4407097 1.011245 -0.7003341 -0.2371875 1.165384 -0.6953439 0.1328827 1.228324 -0.6863573 0.3667436 1.267926 2284.71 3.033308
3134 -0.7294984 -0.4406133 1.011097 -0.7008576 -0.2369381 1.165028 -0.6955099 0.1329315 1.2285 -0.6863556 0.3667412 1.268365 2284.725 3.033103
3134 -0.730022 -0.4403638 1.010742 -0.7011474 -0.2367953 1.164872 -0.6955843 0.1329659 1.228626 -0.6863591 0.3667508 1.268619 2284.737 3.032583
3134 -0.7303118 -0.440221 1.010586 -0.7014243 -0.2366939 1.164753 -0.6956478 0.1329734 1.228758 -0.6863559 0.3667396 1.268845 2284.75 3.032331
3134 -0.7305887 -0.4401197 1.010466 -0.7014243 -0.2366939 1.164753 -0.6956478 0.1329734 1.228758 -0.6863559 0.3667396 1.268845 2284.762 3.03213
3134 -0.7305887 -0.4401197 1.010466 -0.7016227 -0.2366212 1.164686 -0.6956981 0.1329751 1.228881 -0.6863562 0.3667214 1.269072 2284.776 3.03213
3134 -0.730787 -0.4400468 1.0104 -0.7017532 -0.2365655 1.164683 -0.6957321 0.1329815 1.229012 -0.6863611 0.3667112 1.269292 2284.788 3.032003
3134 -0.7309176 -0.4399912 1.010397 -0.7017532 -0.2365655 1.164683 -0.6957321 0.1329815 1.229012 -0.6863611 0.3667112 1.269292 2284.801 3.031953
3134 -0.7309176 -0.4399912 1.010397 -0.7018459 -0.2365274 1.164699 -0.6957449 0.1329821 1.229133 -0.6863635 0.3666984 1.269488 2284.815 3.031953
3134 -0.7310103 -0.4399531 1.010413 -0.7019253 -0.2364896 1.164732 -0.6957424 0.1329804 1.22927 -0.6863708 0.3666861 1.269689 2284.828 3.031935
3134 -0.7310897 -0.4399154 1.010446 -0.7019253 -0.2364896 1.164732 -0.6957424 0.1329804 1.22927 -0.6863708 0.3666861 1.269689 2284.841 3.031934
3134 -0.7310897 -0.4399154 1.010446 -0.7020083 -0.2364485 1.16478 -0.6957362 0.1329792 1.229431 -0.6863885 0.3666753 1.269911 2284.854 3.031934
3134 -0.7311726 -0.4398742 1.010494 -0.7020851 -0.2364039 1.164832 -0.695734 0.1329785 1.229602 -0.6864161 0.3666655 1.270142 2284.866 3.031945
3134 -0.7312495 -0.4398295 1.010546 -0.7020851 -0.2364039 1.164832 -0.695734 0.1329785 1.229602 -0.6864161 0.3666655 1.270142 2284.879 3.03196
3134 -0.7312495 -0.4398295 1.010546 -0.7021476 -0.2363321 1.16485 -0.6957411 0.1329857 1.229773 -0.6864428 0.366663 1.270373 2284.891 3.03196
3134 -0.731312 -0.4397579 1.010564 -0.7022883 -0.2362268 1.164851 -0.6957724 0.1330045 1.22998 -0.68647 0.3666776 1.270604 2284.905 3.031936
3134 -0.7314527 -0.4396524 1.010565 -0.7022883 -0.2362268 1.164851 -0.6957724 0.1330045 1.22998 -0.68647 0.3666776 1.270604 2284.918 3.031868
3134 -0.7314527 -0.4396524 1.010565 -0.7023935 -0.2360537 1.164799 -0.6958547 0.1330568 1.230188 -0.6865047 0.3667158 1.270881 2284.93 3.031868
3134 -0.7315579 -0.4394794 1.010513 -0.7023935 -0.2360537 1.164799 -0.6958547 0.1330568 1.230188 -0.6865047 0.3667158 1.270881 2284.945 3.031735
3134 -0.7315579 -0.4394794 1.010513 -0.7026667 -0.2358311 1.164645 -0.6959856 0.1330814 1.230484 -0.6865366 0.3667436 1.271136 2284.958 3.031735
3134 -0.731831 -0.4392568 1.010359 -0.7028996 -0.2354952 1.164376 -0.6961473 0.1331342 1.230824 -0.6865975 0.3667971 1.271449 2284.987 3.031456
3134 -0.7320641 -0.4389209 1.010089 -0.7028996 -0.2354952 1.164376 -0.6961473 0.1331342 1.230824 -0.6865975 0.3667971 1.271449 2285.02 3.031038
3134 -0.7320641 -0.4389209 1.010089 -0.7035217 -0.2343641 1.163236 -0.6967555 0.1333093 1.231671 -0.6867256 0.3669908 1.272073 2285.037 3.031038
3134 -0.7326861 -0.4377898 1.00895 -0.7044875 -0.2321694 1.160691 -0.6979896 0.1336017 1.232941 -0.6869029 0.3673258 1.272816 2285.05 3.029452
3134 -0.7336518 -0.4355952 1.006405 -0.7044875 -0.2321694 1.160691 -0.6979896 0.1336017 1.232941 -0.6869029 0.3673258 1.272816 2285.064 3.026122
3134 -0.7336518 -0.4355952 1.006405 -0.7049351 -0.2303878 1.158664 -0.6988104 0.1338745 1.233788 -0.6869819 0.3676158 1.273348 2285.078 3.026122
3134 -0.7340994 -0.4338134 1.004377 -0.7049955 -0.2280058 1.15603 -0.6996919 0.1343128 1.234688 -0.6870167 0.3680538 1.273987 2285.091 3.023519
3134 -0.7341599 -0.4314315 1.001744 -0.7049955 -0.2280058 1.15603 -0.6996919 0.1343128 1.234688 -0.6870167 0.3680538 1.273987 2285.106 3.020215
3134 -0.7341599 -0.4314315 1.001744 -0.7048365 -0.2250308 1.152706 -0.7006503 0.1348232 1.235677 -0.6870205 0.3685482 1.274752 2285.119 3.020215
3134 -0.7340009 -0.4284565 0.9984201 -0.7044619 -0.2214185 1.148591 -0.7016409 0.1353573 1.236745 -0.6869732 0.3690701 1.275515 2285.131 3.016102
3134 -0.7336262 -0.4248441 0.994305 -0.7040468 -0.2170427 1.1437 -0.7026563 0.1358947 1.238067 -0.686946 0.369614 1.276387 2285.145 3.011075
3134 -0.7332112 -0.4204685 0.9894139 -0.7040468 -0.2170427 1.1437 -0.7026563 0.1358947 1.238067 -0.686946 0.369614 1.276387 2285.158 3.005064
3134 -0.7332112 -0.4204685 0.9894139 -0.7034062 -0.2117971 1.138155 -0.7037731 0.1365475 1.239506 -0.6868948 0.3702689 1.277312 2285.172 3.005064
3134 -0.7325706 -0.4152229 0.983869 -0.7034062 -0.2117971 1.138155 -0.7037731 0.1365475 1.239506 -0.6868948 0.3702689 1.277312 2285.185 2.998178
3134 -0.7325706 -0.4152229 0.983869 -0.7020904 -0.2054624 1.131877 -0.7049701 0.1372682 1.240951 -0.6867684 0.3709566 1.278346 2285.198 2.998178
3134 -0.7312547 -0.4088881 0.9775911 -0.7010138 -0.1984667 1.12522 -0.7062193 0.1381053 1.242292 -0.6866103 0.3717374 1.279325 2285.211 2.990351
3134 -0.7301781 -0.4018924 0.970934 -0.7010138 -0.1984667 1.12522 -0.7062193 0.1381053 1.242292 -0.6866103 0.3717374 1.279325 2285.224 2.981889
3134 -0.7301781 -0.4018924 0.970934 -0.6995147 -0.1908351 1.118121 -0.7073573 0.1389834 1.243433 -0.6863754 0.3725258 1.280279 2285.239 2.981889
3134 -0.728679 -0.3942608 0.9638347 -0.6977167 -0.1826829 1.110817 -0.7083338 0.139868 1.244426 -0.6861025 0.3733188 1.281119 2285.251 2.97288
3134 -0.7268811 -0.3861086 0.9565305 -0.6977167 -0.1826829 1.110817 -0.7083338 0.139868 1.244426 -0.6861025 0.3733188 1.281119 2285.264 2.963559
3134 -0.7268811 -0.3861086 0.9565305 -0.6958943 -0.1742313 1.10362 -0.7093034 0.1407157 1.245292 -0.6858299 0.3740518 1.281941 2285.277 2.963559
3134 -0.7250586 -0.377657 0.9493341 -0.6941515 -0.1653828 1.096484 -0.710198 0.1415465 1.245894 -0.6855501 0.3747252 1.282773 2285.289 2.954241
3134 -0.7233159 -0.3688085 0.9421977 -0.6941515 -0.1653828 1.096484 -0.710198 0.1415465 1.245894 -0.6855501 0.3747252 1.282773 2285.302 2.944825
3134 -0.7233159 -0.3688085 0.9421977 -0.6924789 -0.1564999 1.089633 -0.7110707 0.1423506 1.246375 -0.6852943 0.3753511 1.283608 2285.315 2.944825
3134 -0.7216432 -0.3599256 0.9353464 -0.6906455 -0.1476919 1.083196 -0.7119682 0.1431576 1.246779 -0.6850551 0.3759637 1.284421 2285.328 2.935656
3134 -0.7198099 -0.3511176 0.92891 -0.6906455 -0.1476919 1.083196 -0.7119682 0.1431576 1.246779 -0.6850551 0.3759637 1.284421 2285.341 2.926938
3134 -0.7198099 -0.3511176 0.92891 -0.6886475 -0.138952 1.077194 -0.7127504 0.1439179 1.247104 -0.6848146 0.3765162 1.285282 2285.356 2.926938
3134 -0.7178119 -0.3423777 0.9229075 -0.6865123 -0.1302414 1.071638 -0.7134517 0.1446485 1.24742 -0.6845781 0.3770378 1.286168 2285.37 2.918689
3134 -0.7156767 -0.3336672 0.9173517 -0.6865123 -0.1302414 1.071638 -0.7134517 0.1446485 1.24742 -0.6845781 0.3770378 1.286168 2285.384 2.9109
3134 -0.7156767 -0.3336672 0.9173517 -0.6841363 -0.1217229 1.066787 -0.7141168 0.1453347 1.247772 -0.6843543 0.3775184 1.287077 2285.397 2.9109
3134 -0.7133006 -0.3251486 0.912501 -0.6817149 -0.1133844 1.062443 -0.7148247 0.1460567 1.248064 -0.684132 0.3779989 1.288072 2285.41 2.90389
3134 -0.7108793 -0.3168101 0.9081563 -0.6817149 -0.1133844 1.062443 -0.7148247 0.1460567 1.248064 -0.684132 0.3779989 1.288072 2285.424 2.897432
3134 -0.7108793 -0.3168101 0.9081563 -0.6790392 -0.1056904 1.058898 -0.7154721 0.1466233 1.248487 -0.6839757 0.378379 1.288949 2285.438 2.897432
3134 -0.7082036 -0.3091161 0.9046115 -0.6762966 -0.09857671 1.056114 -0.7161731 0.1471129 1.248998 -0.6838299 0.3786904 1.289811 2285.451 2.892004
3134 -0.5792618 -1.697365 0.3993155 -0.6762966 -0.09857671 1.056114 -0.7161731 0.1471129 1.248998 -0.6838299 0.3786904 1.289811 2285.465 3.310296
3134 -0.5762925 -2.037111 0.228755 -0.6734817 -0.09201814 1.054024 -0.7168566 0.1475205 1.249516 -0.6836758 0.3789448 1.290526 2285.479 3.469019
3134 -0.5705083 -2.370298 0.05610371 -0.6706487 -0.08596487 1.052649 -0.7174594 0.1477625 1.250251 -0.6835531 0.3791041 1.291133 2285.495 3.654483
3134 -0.5625125 -2.691299 -0.1147261 -0.6679142 -0.08017718 1.051913 -0.7180542 0.1478386 1.251308 -0.6834904 0.3791772 1.291653 2285.51 3.857946
3134 -0.5523778 -3.000062 -0.2830064 -0.6679142 -0.08017718 1.051913 -0.7180542 0.1478386 1.251308 -0.6834904 0.3791772 1.291653 2285.523 4.073814
