2023-05-16T14:36:53Z
 
Index_No.     Position.x      Position.y      Position.z
1866      -0.10779      -0.07201183      -5.484457
1866      -0.1079247      -0.07210201      -5.484401
1866      -0.1078679      -0.07216775      -5.48428
1866      -0.1078279      -0.07214749      -5.484187
1866      -0.1081192      -0.07258385      -5.483754
1866      -0.1081192      -0.07258385      -5.483754
1866      -0.1082037      -0.07274115      -5.483659
1866      -0.1082037      -0.07274115      -5.483659
1866      -0.1082478      -0.07277548      -5.483505
1866      -0.1084803      -0.07319516      -5.483264
1866      -0.1087182      -0.07348621      -5.483256
1866      -0.1088134      -0.07377058      -5.483019
1866      -0.1086682      -0.07325888      -5.482559
1866      -0.108883      -0.07349843      -5.482447
1866      -0.1090846      -0.07386994      -5.482227
1866      -0.1096738      -0.07416844      -5.482092
1866      -0.1101365      -0.07487321      -5.482099
1866      -0.1101365      -0.07487321      -5.482099
1866      -0.1105842      -0.07530975      -5.481841
1866      -0.1108416      -0.07541192      -5.481688
1866      -0.1109426      -0.07548416      -5.481359
1866      -0.111368      -0.07557708      -5.481245
1866      -0.112019      -0.07638973      -5.481291
1866      -0.1124763      -0.07667446      -5.48109
1866      -0.1128613      -0.07683229      -5.480976
1866      -0.1132579      -0.07699358      -5.480807
1866      -0.1135421      -0.07706594      -5.480607
1866      -0.5388476      -0.8905931      -7.70066
1866      -0.5479848      -0.8916038      -7.687036
1866      -0.5537385      -0.8955566      -7.688163
1866      -0.5589632      -0.894108      -7.674792
1866      -0.5624132      -0.8947513      -7.669415
1866      -0.5653632      -0.8931536      -7.657049
1866      -0.5687318      -0.8907185      -7.646212
1866      -0.5706599      -0.8901985      -7.632739
1866      -0.5717672      -0.8909341      -7.618458
1866      -0.5725796      -0.8881433      -7.611353
1866      -0.5731581      -0.8878844      -7.609931
1866      -0.5739389      -0.8805782      -7.587851
1866      -0.5727594      -0.8722366      -7.564333
1866      -0.5718008      -0.8674024      -7.551123
1866      -0.5662579      -0.8579241      -7.527116
1866      -0.5577872      -0.8368202      -7.468867
1866      -0.5517727      -0.8224338      -7.428638
1866      -0.543052      -0.7891393      -7.370979
1866      -0.5435494      -0.789031      -7.354222
1866      -0.5442458      -0.7880172      -7.350114
1866      -0.5351802      -0.756111      -7.250185
1866      -0.5265225      -0.731234      -7.199834
1866      -0.5159565      -0.7098471      -7.145127
1866      -0.5088198      -0.6879978      -7.086834
1866      -0.489135      -0.6446621      -6.955215
1866      -0.4749447      -0.6043919      -6.872805
1866      -0.4624427      -0.5893886      -6.82095
1866      -0.4513138      -0.5647687      -6.750116
1866      -0.4515495      -0.5620969      -6.7426
1866      -0.4277398      -0.4941246      -6.537541
1866      -0.423264      -0.4793545      -6.456986
1866      -0.4160736      -0.4397705      -6.334967
1866      -0.4152829      -0.4149412      -6.232229
1866      -0.4131833      -0.3873371      -6.135054
1866      -0.4117365      -0.3662518      -6.033947
1866      -0.4009593      -0.3037351      -5.82721
1866      -0.3962739      -0.2779437      -5.731484
1866      -0.3962739      -0.2779437      -5.731484
1866      -0.3986571      -0.2757392      -5.716768
1866      -0.3914667      -0.1843001      -5.359911
1866      -0.3904055      -0.1552087      -5.238264
1866      -0.3917057      -0.128544      -5.122278
1866      -0.3930692      -0.1021199      -5.000578
1866      -0.3913677      -0.04742503      -4.773826
1866      -0.3929931      -0.02158618      -4.661618
1866      -0.3948415      0.00128448      -4.546899
1866      -0.3975147      0.001896262      -4.536728
1866      -0.4132519      0.050143      -4.299726
1866      -0.421573      0.06795919      -4.183001
1866      -0.4342315      0.08772629      -4.072332
1866      -0.4478371      0.1048628      -3.951105
1866      -0.4693078      0.1365356      -3.730539
1866      -0.4819346      0.1535227      -3.614844
1866      -0.4963402      0.1694361      -3.50171
1866      -0.5128622      0.1837187      -3.383232
