2023-05-16T15:04:54Z
 
Index_No.     Position.x      Position.y      Position.z
1992      -0.3962237      0.3455842      -1.706194
1992      -0.3962237      0.3455842      -1.706194
1992      -0.3963283      0.3463531      -1.703956
1992      -0.3960855      0.3464977      -1.702774
1992      -0.3958278      0.3464578      -1.701882
1992      -0.395609      0.3465964      -1.701111
1992      -0.3949454      0.3475917      -1.699814
1992      -0.3932439      0.3484282      -1.696727
1992      -0.3925698      0.3489296      -1.695446
1992      -0.3925698      0.3489296      -1.695446
1992      -0.3925698      0.3489296      -1.695446
1992      -0.391089      0.350346      -1.692007
1992      -0.3900905      0.3509936      -1.690548
1992      -0.3892863      0.3524548      -1.688587
1992      -0.3882201      0.3527977      -1.687382
1992      -0.3872709      0.3533124      -1.686049
1992      -0.3851399      0.3544753      -1.683202
1992      -0.3841735      0.3548331      -1.682178
1992      -0.3832337      0.355083      -1.680921
1992      -0.3832337      0.355083      -1.680921
1992      -0.3832337      0.355083      -1.680921
1992      -0.3806772      0.3558992      -1.678123
1992      -0.3800138      0.355947      -1.677347
1992      -0.3800138      0.355947      -1.677347
1992      -0.3788418      0.3562619      -1.676552
1992      -0.3783021      0.3563096      -1.676304
1992      -0.3777792      0.3564071      -1.67623
1992      -0.376985      0.3567234      -1.676161
1992      -0.376985      0.3567234      -1.676161
1992      -0.376985      0.3567234      -1.676161
1992      -0.3763855      0.3576699      -1.676119
1992      -0.376177      0.3577889      -1.676098
1992      -0.3759193      0.3581207      -1.676114
1992      -0.3756897      0.3581465      -1.676019
1992      -0.3752266      0.3581398      -1.67608
1992      -0.3748844      0.3580915      -1.675837
1992      -0.3742563      0.3580071      -1.675365
1992      -0.3739226      0.3578127      -1.675028
1992      -0.3739226      0.3578127      -1.675028
1992      -0.3730097      0.3569749      -1.674273
1992      -0.3724611      0.3564634      -1.673827
1992      -0.3719024      0.3559037      -1.673307
1992      -0.3713329      0.3550186      -1.672355
1992      -0.3705781      0.3528475      -1.670609
1992      -0.3701851      0.3517875      -1.669032
1992      -0.3694909      0.351269      -1.667295
1992      -0.3688326      0.3503377      -1.665205
1992      -0.3688326      0.3503377      -1.665205
1992      -0.3685379      0.3493695      -1.663375
1992      -0.3685508      0.3477552      -1.661478
1992      -0.368346      0.3455138      -1.656276
1992      -0.3685252      0.3440927      -1.653406
1992      -0.368794      0.3420666      -1.650549
