2023-04-12T14:41:08Z
 
Index No.     Position.x      Position.y      Position.z
479      -0.6005851      0.2948923      -0.5130801
479      -0.6026146      0.2949354      -0.5136597
479      -0.6035614      0.2952596      -0.5140535
479      -0.6046315      0.2948582      -0.5142108
479      -0.6056256      0.2946443      -0.5143831
479      -0.6068006      0.2945351      -0.5148283
479      -0.6076989      0.294189      -0.5149781
479      -0.6098838      0.2936874      -0.5155493
479      -0.610982      0.2936589      -0.5159882
479      -0.610982      0.2936589      -0.5159882
479      -0.6130437      0.2929939      -0.5162386
479      -0.6140863      0.2927592      -0.5164235
479      -0.6151021      0.2925572      -0.5165495
479      -0.6160945      0.2921295      -0.5166205
479      -0.617177      0.2919053      -0.5167015
479      -0.6183008      0.2915938      -0.5168361
479      -0.6204344      0.2910854      -0.5167851
479      -0.6215165      0.2910031      -0.5169024
479      -0.6215165      0.2910031      -0.5169024
479      -0.6236072      0.2901874      -0.5167962
479      -0.6247705      0.2899956      -0.5167092
479      -0.6269854      0.2895023      -0.5166463
479      -0.6281336      0.2892041      -0.5165495
479      -0.6294504      0.2887601      -0.516471
479      -0.6305866      0.288308      -0.5163589
479      -0.631846      0.2879036      -0.5164491
479      -0.632761      0.2872756      -0.5162203
479      -0.6354465      0.2866673      -0.5163183
479      -0.6369253      0.2863784      -0.5165401
479      -0.6381974      0.2860655      -0.5165397
479      -0.6407872      0.2853084      -0.5166785
479      -0.6421755      0.2850718      -0.5167503
479      -0.6434963      0.2848563      -0.516813
479      -0.6447808      0.2844711      -0.516915
479      -0.6460533      0.2841599      -0.5168554
479      -0.6474265      0.2838308      -0.517022
479      -0.648615      0.2835089      -0.517073
479      -0.6497622      0.2832761      -0.5170298
479      -0.6520321      0.2824797      -0.516982
479      -0.654332      0.2819069      -0.517073
479      -0.6556198      0.281856      -0.5172799
479      -0.6566495      0.2815753      -0.5171127
479      -0.6576285      0.2809711      -0.5169171
479      -0.6589872      0.2809974      -0.5171146
479      -0.6598932      0.2804744      -0.5167078
479      -0.6625087      0.2801687      -0.5166174
479      -0.6635981      0.2800301      -0.5163546
479      -0.6647806      0.2798242      -0.5160761
479      -0.6671994      0.2795008      -0.5154905
479      -0.6685365      0.2793539      -0.5151178
479      -0.669695      0.2791112      -0.5147029
479      -0.6709812      0.2791416      -0.5143486
479      -0.6709812      0.2791416      -0.5143486
479      -0.6747359      0.278543      -0.5133189
479      -0.6760368      0.2784075      -0.5129095
479      -0.6772966      0.2782773      -0.5125939
479      -0.6782681      0.2777384      -0.5121142
479      -0.6809789      0.2774414      -0.512045
479      -0.6820874      0.2768677      -0.5118428
479      -0.6834708      0.2768694      -0.5121379
479      -0.6834708      0.2768694      -0.5121379
479      -0.6870766      0.2758181      -0.5120109
479      -0.6880528      0.2750753      -0.5118069
479      -0.6894645      0.2752365      -0.512176
479      -0.6905931      0.275019      -0.5121213
479      -0.6929148      0.2746715      -0.5122434
479      -0.6938241      0.2742394      -0.5120856
479      -0.6950852      0.2744746      -0.5124011
479      -0.6961793      0.2744446      -0.5123236
479      -0.6961793      0.2744446      -0.5123236
479      -0.6981338      0.2741555      -0.5124123
479      -0.6993364      0.2746385      -0.5123472
479      -0.7011653      0.274671      -0.5119628
479      -0.7020463      0.2746663      -0.5119044
479      -0.7029422      0.2748454      -0.5118403
479      -0.7039276      0.2749068      -0.5115874
479      -0.7055584      0.275073      -0.5110204
479      -0.7055584      0.275073      -0.5110204
479      -0.7070765      0.2754919      -0.5105398
479      -0.7078119      0.2750726      -0.5098969
479      -0.7085575      0.275307      -0.5095384
479      -0.7098399      0.2751062      -0.5085123
479      -0.7105986      0.2751661      -0.5080478
479      -0.7110018      0.2749129      -0.5074674
479      -0.711585      0.2748387      -0.5069462
479      -0.7122346      0.274875      -0.5064125
479      -0.7125028      0.2744556      -0.5056394
479      -0.7135561      0.2738826      -0.5046686
479      -0.7135561      0.2738826      -0.5046686
479      -0.7140516      0.2734013      -0.5041394
479      -0.715092      0.272411      -0.503114
479      -0.7156109      0.2718224      -0.5025235
479      -0.7170007      0.2709353      -0.501644
479      -0.7172454      0.2699599      -0.5005921
479      -0.7172454      0.2699599      -0.5005921
479      -0.7193102      0.269268      -0.499952
479      -0.7202176      0.2689426      -0.4995616
479      -0.7221699      0.2683065      -0.4983481
479      -0.7234222      0.2681845      -0.4978976
479      -0.7246004      0.2680182      -0.4973508
479      -0.7258826      0.2678893      -0.4966866
479      -0.7271231      0.2675986      -0.496169
