2023-05-16T16:41:17Z
 
Index_No.     Position.x      Position.y      Position.z
125      -0.3828616      0.3387847      -1.734573
125      -0.3828664      0.3389487      -1.734578
125      -0.382782      0.3390522      -1.734575
125      -0.3822267      0.3399005      -1.73459
125      -0.3821492      0.3400249      -1.734604
125      -0.3823392      0.3397207      -1.734694
125      -0.3824365      0.3395877      -1.734617
125      -0.3824365      0.3395877      -1.734617
125      -0.3817091      0.3408017      -1.734494
125      -0.3817694      0.3408241      -1.734434
125      -0.3815811      0.3411355      -1.73444
125      -0.3813303      0.3420572      -1.734549
125      -0.3813183      0.342164      -1.734532
125      -0.3809931      0.342844      -1.734095
125      -0.3809931      0.342844      -1.734095
125      -0.3809149      0.3429747      -1.734083
125      -0.3813744      0.3417387      -1.734371
125      -0.3812201      0.3416228      -1.734164
125      -0.3812153      0.3420348      -1.733919
125      -0.3813422      0.3419504      -1.733855
125      -0.381336      0.3420219      -1.733709
125      -0.3813968      0.3421092      -1.733125
125      -0.3810318      0.3434639      -1.732542
125      -0.3815629      0.3426914      -1.732388
125      -0.3819566      0.3429089      -1.731276
125      -0.3819566      0.3429089      -1.731276
125      -0.3819518      0.3431649      -1.73074
125      -0.3823249      0.3432512      -1.729407
125      -0.3830314      0.3439088      -1.728146
125      -0.3834257      0.3439865      -1.727376
125      -0.383723      0.3439565      -1.72649
125      -0.3851557      0.3471799      -1.721065
125      -0.3861899      0.3475218      -1.718293
125      -0.3868914      0.3477168      -1.716745
125      -0.3871009      0.3489528      -1.715088
125      -0.3871009      0.3489528      -1.715088
125      -0.3889867      0.3498878      -1.710073
125      -0.389491      0.3504782      -1.708197
125      -0.3900987      0.3510599      -1.706125
125      -0.3906034      0.3518209      -1.703908
125      -0.3913974      0.3525543      -1.701494
125      -0.393123      0.3542891      -1.696111
125      -0.3939773      0.3553972      -1.693152
125      -0.3963608      0.3573847      -1.686464
125      -0.3972467      0.3585606      -1.682674
125      -0.3984988      0.3597326      -1.678955
125      -0.3996763      0.360424      -1.674885
125      -0.401338      0.3626819      -1.666887
125      -0.4021081      0.3638906      -1.662629
125      -0.4033093      0.3655314      -1.653836
125      -0.404403      0.3652925      -1.649322
125      -0.4051126      0.3661208      -1.644798
125      -0.4057621      0.3690624      -1.635606
125      -0.4063743      0.3696113      -1.631183
125      -0.4070092      0.3701315      -1.626897
125      -0.4083577      0.3705783      -1.618912
125      -0.409115      0.3711553      -1.614676
125      -0.4098134      0.371736      -1.61056
125      -0.4110315      0.3730187      -1.602082
125      -0.4119982      0.374496      -1.593628
