2023-06-08T15:05:58Z
 
Index_No. Position.x Position.y Position.z Time_Stamp Distance
1992 -0.9095475 -1.592288 -4.898577 2622.488 0.09794676
1992 -0.9117176 -1.59261 -4.898044 2622.502 0.09988839
1992 -0.9145169 -1.593516 -4.897054 2622.517 0.1025267
1992 -0.915956 -1.593578 -4.896698 2622.543 0.1038552
1992 -0.9188733 -1.593705 -4.895922 2622.558 0.1065931
1992 -0.9227466 -1.593204 -4.894494 2622.597 0.110575
1992 -0.9238979 -1.593396 -4.894149 2622.636 0.1116688
1992 -0.9292943 -1.593703 -4.894394 2622.674 0.1158321
1992 -0.9290016 -1.593219 -4.893282 2622.721 0.1162908
1992 -0.9267423 -1.589826 -4.892438 2622.753 0.1154536
1992 -0.9250073 -1.590318 -4.8933 2622.768 0.1134927
1992 -0.9241965 -1.590664 -4.893301 2622.783 0.1127968
1992 -0.9234933 -1.590233 -4.892898 2622.798 0.1125493
1992 -0.9234933 -1.590233 -4.892898 2622.812 0.1125493
1992 -0.920795 -1.588433 -4.890282 2622.826 0.1123523
1992 -0.9194329 -1.587394 -4.888764 2622.841 0.1124609
1992 -0.9194329 -1.587394 -4.888764 2622.855 0.1124609
1992 -0.9182101 -1.586182 -4.887588 2622.87 0.1125312
1992 -0.9170229 -1.585661 -4.886779 2622.885 0.1122861
1992 -0.9168198 -1.586206 -4.885943 2622.899 0.1125796
1992 -0.9155737 -1.585578 -4.883769 2622.913 0.1132564
1992 -0.9144202 -1.583951 -4.882262 2622.927 0.1138011
1992 -0.9134449 -1.583203 -4.879434 2622.941 0.1152467
1992 -0.9135726 -1.583963 -4.877987 2622.956 0.1161909
1992 -0.913036 -1.583321 -4.876624 2622.969 0.1169339
1992 -0.9127867 -1.584146 -4.873604 2622.983 0.1187783
1992 -0.9125516 -1.584543 -4.871933 2622.998 0.1197705
1992 -0.9124529 -1.585019 -4.869955 2623.012 0.1210803
1992 -0.9122664 -1.58546 -4.866284 2623.027 0.1236411
1992 -0.9123363 -1.586126 -4.864205 2623.041 0.1251517
1992 -0.9128054 -1.587264 -4.860386 2623.057 0.1281976
1992 -0.9133205 -1.588178 -4.858274 2623.073 0.1300145
1992 -0.9145598 -1.588017 -4.85361 2623.106 0.1344546
1992 -0.91925 -1.592997 -4.843544 2623.123 0.1446307
1992 -0.9206561 -1.594216 -4.840901 2623.138 0.1474617
1992 -0.9237176 -1.596688 -4.83574 2623.153 0.1532133
1992 -0.9256241 -1.597945 -4.833445 2623.168 0.1560948
1992 -0.9273645 -1.599688 -4.831404 2623.184 0.158661
1992 -0.9319162 -1.603651 -4.827716 2623.199 0.1641569
1992 -0.9319162 -1.603651 -4.827716 2623.215 0.1641569
1992 -0.9385639 -1.607031 -4.82301 2623.23 0.1718445
1992 -0.9435138 -1.608891 -4.819942 2623.245 0.1772879
1992 -0.946067 -1.609846 -4.818431 2623.26 0.1800556
1992 -0.9509107 -1.611127 -4.815171 2623.276 0.1856349
1992 -0.9534281 -1.611571 -4.813115 2623.291 0.1888218
1992 -0.9561427 -1.611753 -4.810867 2623.306 0.1922793
1992 -0.961872 -1.611241 -4.805911 2623.321 0.199732
1992 -0.9677041 -1.609488 -4.800274 2623.336 0.2077712
1992 -0.971136 -1.609225 -4.796999 2623.351 0.212482
1992 -0.9779015 -1.607504 -4.788796 2623.366 0.2231116
1992 -0.9848871 -1.604815 -4.778259 2623.382 0.2357036
1992 -0.9885189 -1.602961 -4.772306 2623.411 0.2426402
1992 -1.000623 -1.598364 -4.752831 2623.426 0.2655182
1992 -1.008768 -1.594957 -4.739769 2623.442 0.2809417
1992 -1.008768 -1.594957 -4.739769 2623.458 0.2809417
1992 -1.016972 -1.591739 -4.726238 2623.474 0.296796
1992 -1.024346 -1.586765 -4.711812 2623.49 0.3130008
1992 -1.031932 -1.584745 -4.698062 2623.506 0.3286449
1992 -1.031932 -1.584745 -4.698062 2623.521 0.3286449
1992 -1.042165 -1.582816 -4.679004 2623.535 0.3501272
1992 -1.049529 -1.583712 -4.667179 2623.549 0.3639216
1992 -1.052793 -1.583514 -4.661599 2623.56 0.3703514
1992 -1.05583 -1.583938 -4.656501 2623.572 0.3762199
1992 -1.058718 -1.584118 -4.65182 2623.586 0.3816823
1992 -1.061369 -1.584992 -4.647056 2623.597 0.387032
1992 -1.065359 -1.585707 -4.638114 2623.608 0.3965634
1992 -1.065359 -1.585707 -4.638114 2623.62 0.3965634
