2023-06-28T11:53:53Z
 
Index_No. VRHandPos.x VRHandPos.y VRHandPos.z HandPos.x HandPos.y HandPos.z ElbowPos.x ElbowPos.y ElbowPos.z ShoulderPos.x ShoulderPos.y ShoulderPos.z Time_Stamp Distance
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063577 0.001472166 1.188215 -2.018046 0.2494923 1.129807 33.56938 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063562 0.001537877 1.188229 -2.018245 0.2494892 1.129769 33.57791 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063491 0.001594395 1.188211 -2.018274 0.2495718 1.129727 33.58553 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063491 0.001594395 1.188211 -2.018274 0.2495718 1.129727 33.59257 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063491 0.001594395 1.188211 -2.018274 0.2495718 1.129727 33.60369 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.06356 0.001675578 1.188207 -2.018196 0.2497508 1.129642 33.61556 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063549 0.00177059 1.18819 -2.018264 0.2497751 1.129652 33.62663 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063814 0.001740322 1.188257 -2.018258 0.2498945 1.129564 33.63777 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063732 0.001843063 1.188234 -2.018325 0.2499853 1.12956 33.64858 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063783 0.00187447 1.188207 -2.018457 0.2499377 1.129519 33.65989 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063827 0.001884694 1.188222 -2.018589 0.2499487 1.129524 33.6711 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063875 0.001890222 1.188216 -2.018363 0.2501152 1.12943 33.68192 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063838 0.001929116 1.18818 -2.018513 0.2501098 1.129416 33.69292 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063838 0.001929116 1.18818 -2.018513 0.2501098 1.129416 33.70435 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.06391 0.001966595 1.188178 -2.018651 0.25013 1.129364 33.72338 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063891 0.002079305 1.188124 -2.018852 0.2501478 1.129268 33.73089 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063907 0.002127519 1.18811 -2.019306 0.2500327 1.127889 33.73693 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063953 0.002129474 1.188125 -2.01946 0.2500273 1.127856 33.74923 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.064004 0.002134345 1.188099 -2.019419 0.2501273 1.127794 33.75995 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.064056 0.002160984 1.18811 -2.01969 0.2500526 1.12782 33.77092 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.064015 0.00221847 1.18806 -2.019532 0.2501694 1.127715 33.78203 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.064067 0.002269487 1.188067 -2.019712 0.2501757 1.127733 33.79277 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.064067 0.002269487 1.188067 -2.019712 0.2501757 1.127733 33.80404 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.064067 0.002269487 1.188067 -2.019712 0.2501757 1.127733 33.81485 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.064136 0.002446998 1.187985 -2.020101 0.2502435 1.12757 33.82579 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.06405 0.002548926 1.18793 -2.020305 0.2502336 1.127536 33.83705 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.064168 0.002519463 1.187952 -2.020437 0.2502647 1.127468 33.84825 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.064057 0.002650358 1.187855 -2.020573 0.2504102 1.127349 33.86016 7.111434
1881 -1.716554 0.5673617 1.00248 -1.864312 0.4082214 1.067006 -2.063991 0.002751239 1.187764 -2.020892 0.250401 1.127279 33.87127 7.111434
