2023-08-21T19:11:39Z
 
Index_No. VRHandPos.x VRHandPos.y VRHandPos.z HandPos.x HandPos.y HandPos.z ElbowPos.x ElbowPos.y ElbowPos.z ShoulderPos.x ShoulderPos.y ShoulderPos.z Time_Stamp Distance
3128 -1.537337 -0.460523 -0.04973638 -0.8111031 -0.1787708 1.162938 -0.7672179 0.1788058 1.235992 -0.6994618 0.3893447 1.300713 558.8423 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8114514 -0.1789109 1.16366 -0.7671598 0.1787862 1.236475 -0.6993091 0.389368 1.300957 558.8563 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8120112 -0.1789409 1.164767 -0.767059 0.1788615 1.237319 -0.6989942 0.389473 1.301478 558.8679 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8120112 -0.1789409 1.164767 -0.767059 0.1788615 1.237319 -0.6989942 0.389473 1.301478 558.8781 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8122273 -0.1788893 1.165264 -0.7669874 0.1789544 1.237682 -0.6988012 0.3895693 1.3017 558.8875 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8122273 -0.1788893 1.165264 -0.7669874 0.1789544 1.237682 -0.6988012 0.3895693 1.3017 558.8976 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8123334 -0.1788501 1.16572 -0.7668939 0.1790781 1.237983 -0.6986074 0.3896802 1.301937 558.9072 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8123334 -0.1788501 1.16572 -0.7668939 0.1790781 1.237983 -0.6986074 0.3896802 1.301937 558.9318 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.812408 -0.1787501 1.166064 -0.7668038 0.1792113 1.238262 -0.6984344 0.3897816 1.302232 558.9429 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8124767 -0.1786085 1.166353 -0.7667394 0.1793528 1.238545 -0.6982859 0.3898809 1.302564 558.9531 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8125603 -0.1784501 1.166577 -0.7666875 0.1794775 1.238842 -0.6981273 0.3899545 1.302915 558.9615 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8125603 -0.1784501 1.166577 -0.7666875 0.1794775 1.238842 -0.6981273 0.3899545 1.302915 558.9731 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8125603 -0.1784501 1.166577 -0.7666875 0.1794775 1.238842 -0.6981273 0.3899545 1.302915 558.9841 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8126186 -0.1782491 1.16673 -0.7666291 0.1796089 1.23916 -0.6979594 0.3900406 1.303264 558.9953 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8126476 -0.1779679 1.166788 -0.7665569 0.1797567 1.239468 -0.697812 0.3901415 1.303645 559.0156 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8126476 -0.1779679 1.166788 -0.7665569 0.1797567 1.239468 -0.697812 0.3901415 1.303645 559.0394 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8126239 -0.1776772 1.166804 -0.7664883 0.1798726 1.239798 -0.6976912 0.3902161 1.304055 559.0495 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8125606 -0.1774071 1.166829 -0.7664299 0.1799688 1.240137 -0.6975775 0.3902619 1.3045 559.0621 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8124394 -0.1771765 1.166909 -0.7663804 0.1800551 1.240494 -0.6974576 0.3902914 1.304967 559.0732 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8124394 -0.1771765 1.166909 -0.7663804 0.1800551 1.240494 -0.6974576 0.3902914 1.304967 559.0914 5.480137
3128 -1.537337 -0.460523 -0.04973638 -0.8121411 -0.1768929 1.166954 -0.7663118 0.1801714 1.240893 -0.697322 0.3903455 1.305497 559.1254 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.8115376 -0.1762449 1.166614 -0.7663481 0.1803617 1.241491 -0.6972166 0.3904698 1.306158 559.138 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.8089414 -0.1714993 1.162584 -0.7673978 0.1814535 1.243953 -0.6969792 0.3913342 1.307966 559.151 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.8089414 -0.1714993 1.162584 -0.7673978 0.1814535 1.243953 -0.6969792 0.3913342 1.307966 559.1622 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.8074366 -0.166488 1.157974 -0.7683069 0.1824493 1.245844 -0.6967239 0.392075 1.309399 559.1731 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.8074366 -0.166488 1.157974 -0.7683069 0.1824493 1.245844 -0.6967239 0.392075 1.309399 559.1844 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.8053518 -0.1595128 1.152353 -0.7694297 0.1844684 1.247998 -0.6962631 0.3938986 1.310384 559.1953 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.8048193 -0.1485147 1.142774 -0.7715232 0.1859616 1.252464 -0.6959326 0.395541 1.311361 559.2063 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.8048193 -0.1485147 1.142774 -0.7715232 0.1859616 1.252464 -0.6959326 0.395541 1.311361 559.2183 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.801814 -0.1319269 1.130603 -0.7740979 0.1882669 1.256811 -0.6954367 0.3972492 1.313778 559.2456 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.801814 -0.1319269 1.130603 -0.7740979 0.1882669 1.256811 -0.6954367 0.3972492 1.313778 559.2581 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7976733 -0.08841126 1.105335 -0.7804537 0.1946986 1.26571 -0.6936932 0.4013993 1.319131 559.2734 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7976733 -0.08841126 1.105335 -0.7804537 0.1946986 1.26571 -0.6936932 0.4013993 1.319131 559.2843 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7947986 -0.06497254 1.093449 -0.7830784 0.1987643 1.268834 -0.692542 0.4036792 1.322865 559.295 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7887397 -0.03551195 1.081715 -0.7863819 0.2015111 1.274124 -0.6915206 0.4054661 1.324225 559.3062 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7887397 -0.03551195 1.081715 -0.7863819 0.2015111 1.274124 -0.6915206 0.4054661 1.324225 559.3176 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7889725 -0.004347458 1.071484 -0.7901205 0.2057062 1.276105 -0.6902221 0.4072959 1.325988 559.328 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7889725 -0.004347458 1.071484 -0.7901205 0.2057062 1.276105 -0.6902221 0.4072959 1.325988 559.3395 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7858843 0.02591914 1.062913 -0.7930543 0.2096487 1.277454 -0.6889817 0.4089801 1.327875 559.3506 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7858843 0.02591914 1.062913 -0.7930543 0.2096487 1.277454 -0.6889817 0.4089801 1.327875 559.3618 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7827194 0.05547201 1.055929 -0.7958087 0.2136029 1.277833 -0.6876487 0.4104103 1.32955 559.3724 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7827194 0.05547201 1.055929 -0.7958087 0.2136029 1.277833 -0.6876487 0.4104103 1.32955 559.3839 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7790685 0.08362627 1.050604 -0.7981609 0.2172758 1.277667 -0.6863912 0.4116498 1.330889 559.3946 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7754288 0.1103937 1.047114 -0.8001156 0.2208523 1.276992 -0.6851626 0.4129017 1.331848 559.4058 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7754288 0.1103937 1.047114 -0.8001156 0.2208523 1.276992 -0.6851626 0.4129017 1.331848 559.4172 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7720628 0.1353929 1.045182 -0.8017129 0.2244274 1.275764 -0.6839535 0.414193 1.33258 559.4294 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7720628 0.1353929 1.045182 -0.8017129 0.2244274 1.275764 -0.6839535 0.414193 1.33258 559.439 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7691212 0.1580991 1.04433 -0.8031725 0.2280744 1.274001 -0.6828238 0.4154566 1.33325 559.4625 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.7691212 0.1580991 1.04433 -0.8031725 0.2280744 1.274001 -0.6828238 0.4154566 1.33325 559.4725 6.802026
3128 -1.537337 -0.460523 -0.04973638 -0.763599 0.1955823 1.044613 -0.8052536 0.2349151 1.270416 -0.6805489 0.4179135 1.334186 559.4814 6.802026
