2023-05-02T16:27:02Z
 
Index_No.     Position.x      Position.y      Position.z
479      -0.5323043      0.2822335      -0.725702
479      -0.5325288      0.2817982      -0.7258117
479      -0.5325843      0.2815828      -0.7258692
479      -0.5327974      0.281115      -0.7258514
479      -0.5331278      0.2804777      -0.7258372
479      -0.5332992      0.280112      -0.7257806
479      -0.5333659      0.2798532      -0.7256918
479      -0.5335594      0.2793563      -0.7255918
479      -0.5339034      0.2783658      -0.7253864
479      -0.534072      0.277953      -0.7252514
479      -0.5341828      0.2774405      -0.7252345
479      -0.5343355      0.2770204      -0.725174
479      -0.5345079      0.2763257      -0.7250954
479      -0.5347161      0.2757955      -0.7251723
479      -0.5347934      0.2757128      -0.7252678
479      -0.5350157      0.2751745      -0.7253518
479      -0.5351808      0.2747555      -0.7253991
479      -0.5351808      0.2747555      -0.7253991
479      -0.5355097      0.2740379      -0.7254287
479      -0.535754      0.2736176      -0.7253803
479      -0.5360028      0.2732862      -0.7253487
479      -0.5361655      0.2731554      -0.7252793
479      -0.5363498      0.2730632      -0.725181
479      -0.5365036      0.272955      -0.7250673
479      -0.5366673      0.272952      -0.7249128
479      -0.5367509      0.2727564      -0.7246073
479      -0.5367509      0.2727564      -0.7246073
479      -0.1078744      0.2132221      -1.285619
479      -0.1117525      0.2209137      -1.269608
479      -0.1169227      0.2262234      -1.24789
479      -0.1186181      0.2296537      -1.238523
479      -0.1199361      0.2333902      -1.22994
479      -0.1215858      0.2363491      -1.221351
479      -0.1228141      0.2394659      -1.214424
479      -0.1251055      0.2435703      -1.203871
479      -0.12692      0.247122      -1.194976
479      -0.1269785      0.2474457      -1.193535
479      -0.133506      0.2578037      -1.162309
479      -0.1357266      0.2625157      -1.153139
479      -0.1381654      0.2667668      -1.141946
479      -0.1411247      0.2707653      -1.13106
479      -0.1440703      0.2744088      -1.1197
479      -0.147063      0.2777359      -1.108168
479      -0.1499659      0.2810929      -1.097791
479      -0.1534275      0.2830933      -1.084994
479      -0.1559831      0.2864147      -1.074266
479      -0.1586826      0.289515      -1.063107
479      -0.1632795      0.2967026      -1.043201
479      -0.1663252      0.2971428      -1.034286
479      -0.1684123      0.2990684      -1.025555
479      -0.1713398      0.3007899      -1.016372
479      -0.1742422      0.3020522      -1.006975
479      -0.1761223      0.3024844      -1.000408
479      -0.1788752      0.3027363      -0.9921988
479      -0.1811419      0.3043089      -0.9875237
479      -0.1839162      0.3067063      -0.9801667
479      -0.1953187      0.3244822      -0.9449495
479      -0.1979337      0.3239529      -0.9420829
479      -0.2013336      0.3258528      -0.93729
479      -0.2017099      0.3216772      -0.9414669
479      -0.1971838      0.3102875      -0.9666611
479      -0.2013507      0.3122964      -0.9553207
479      -0.2039988      0.3116243      -0.9565628
479      -0.2064012      0.3119558      -0.9520949
479      -0.2072422      0.3126214      -0.9509696
479      -0.2163253      0.3167442      -0.9459773
479      -0.2197137      0.3186642      -0.9434655
479      -0.2247819      0.3222993      -0.9389857
479      -0.2277103      0.3239017      -0.9406842
479      -0.2320726      0.328008      -0.9318227
479      -0.2362829      0.3305507      -0.930448
479      -0.2410608      0.3346829      -0.9250772
479      -0.2441493      0.3366162      -0.9234053
479      -0.2451715      0.3383634      -0.9224951
479      -0.2577547      0.3500238      -0.9115802
479      -0.2618584      0.3553361      -0.9074453
479      -0.2659391      0.3653816      -0.9015453
479      -0.2694685      0.3702729      -0.8950472
479      -0.2734064      0.3748663      -0.8905936
479      -0.2773212      0.3807891      -0.8841914
479      -0.2801702      0.3861021      -0.8860788
479      -0.2836003      0.3918966      -0.8757175
479      -0.2884086      0.4006439      -0.8682407
479      -0.2941412      0.4154904      -0.8587685
479      -0.2981016      0.4246317      -0.8490002
479      -0.3011679      0.4332311      -0.8400065
479      -0.3038397      0.4417063      -0.8335967
479      -0.3061868      0.4504271      -0.8290677
479      -0.309743      0.4605474      -0.8199646
479      -0.3132333      0.4705735      -0.8160126
479      -0.3176886      0.48104      -0.8012351
479      -0.3203944      0.4927031      -0.7980463
479      -0.3248474      0.5097667      -0.7841838
479      -0.3288067      0.5225512      -0.7700863
479      -0.3306718      0.5335832      -0.7631143
479      -0.3324716      0.5437435      -0.7539735
479      -0.3354267      0.5566161      -0.7433876
479      -0.3365405      0.5666031      -0.7393546
479      -0.3382666      0.5798235      -0.7342281
479      -0.3431136      0.6007979      -0.7148906
479      -0.3431136      0.6007979      -0.7148906
479      -0.34248      0.6077685      -0.7134714
479      -0.3531256      0.6482398      -0.674547
479      -0.3532853      0.6573248      -0.6759771
479      -0.349226      0.6594582      -0.6972861
479      -0.3519804      0.672968      -0.684466
479      -0.3524245      0.6837688      -0.6853781
479      -0.3532337      0.6976761      -0.6777705
479      -0.3528596      0.7228979      -0.6768746
479      -0.3508725      0.7496226      -0.6802485
479      -0.3504287      0.752946      -0.6797839
479      -0.3536465      0.7707062      -0.6631956
479      -0.3531384      0.7725066      -0.6633811
479      -0.350186      0.780324      -0.6705928
479      -0.3488628      0.7923086      -0.6737411
479      -0.3472035      0.8030602      -0.6810607
479      -0.3458876      0.8120059      -0.692375
479      -0.3401667      0.8157018      -0.7171055
479      -0.3399875      0.8293242      -0.7123787
479      -0.3360496      0.837937      -0.7328303
479      -0.3313578      0.8553568      -0.7511222
479      -0.3290234      0.8674768      -0.7589207
479      -0.3315015      0.8870901      -0.7465357
479      -0.3281128      0.8966782      -0.7595612
479      -0.3258003      0.9059414      -0.7665445
479      -0.323605      0.9180321      -0.7744419
479      -0.3199887      0.9254984      -0.7908319
479      -0.3160701      0.9356136      -0.8012706
479      -0.3114095      0.9490166      -0.8074818
479      -0.2992259      0.9597181      -0.8519699
479      -0.2938487      0.9689214      -0.8658235
479      -0.288991      0.978487      -0.8792292
479      -0.284048      0.9882396      -0.891956
479      -0.2776101      0.9977145      -0.9089245
479      -0.2714863      1.007177      -0.9264091
479      -0.2650434      1.016145      -0.9450873
479      -0.258047      1.025364      -0.9665472
479      -0.2501308      1.036817      -0.9931893
479      -0.2334722      1.05159      -1.060117
479      -0.2255721      1.060811      -1.09318
479      -0.2222245      1.076736      -1.103675
479      -0.2137338      1.084176      -1.137841
479      -0.2077432      1.093559      -1.170137
479      -0.1999513      1.103546      -1.199052
479      -0.1938959      1.111458      -1.225418
479      -0.1848019      1.122003      -1.261003
479      -0.1758365      1.133676      -1.295971
479      -0.1591349      1.151227      -1.368323
479      -0.1502072      1.158309      -1.412668
479      -0.1384519      1.162996      -1.469336
479      -0.1306283      1.169911      -1.506249
479      -0.1249408      1.177564      -1.539322
479      -0.1203956      1.184677      -1.56584
479      -0.1143039      1.192928      -1.593504
479      -0.109522      1.202375      -1.614425
479      -0.1021999      1.218581      -1.653824
479      -0.1017652      1.221954      -1.655079
479      -0.09518632      1.242879      -1.689982
