2023-06-15T14:03:11Z
 
Index_No. Position.x Position.y Position.z Time_Stamp Distance
125 -0.8716704 -1.58007 -4.900609 156.0665 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.0792 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.0888 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.0987 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.1084 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.1183 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.1289 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.1536 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.1651 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.1752 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.1869 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.1987 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.2098 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.2204 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.2313 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.2427 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.2537 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.2649 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.2759 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.2869 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.2983 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.3094 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.3203 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.3313 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.3426 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.3532 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.3643 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.3759 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.3875 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.3981 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.4097 0.07529672
125 -0.8716704 -1.58007 -4.900609 156.4201 0.07529672
