2023-05-31T15:32:12Z
 
Index_No. Position.x Position.y Position.z Time_Stamp Distance
1992 -0.8706563 -1.584575 -4.899612 122.4316 0.07405733
1992 -0.8707178 -1.5827 -4.898042 122.4436 0.07597952
1992 -0.8708611 -1.583413 -4.898232 122.455 0.07565694
1992 -0.8707319 -1.58273 -4.898116 122.4662 0.07591572
1992 -0.8707703 -1.58278 -4.898109 122.478 0.07592204
1992 -0.8706713 -1.583217 -4.898457 122.5014 0.07544709
1992 -0.870823 -1.583477 -4.898405 122.5137 0.07547661
1992 -0.8708203 -1.584203 -4.8996 122.5249 0.07426494
1992 -0.870957 -1.582562 -4.898052 122.5365 0.07612981
1992 -0.8709438 -1.582576 -4.898092 122.5476 0.0760861
1992 -0.8709407 -1.582305 -4.898194 122.5596 0.07609289
1992 -0.8709202 -1.582313 -4.898169 122.5716 0.07610106
1992 -0.8707634 -1.58283 -4.898558 122.5835 0.07553584
1992 -0.8706847 -1.583033 -4.898433 122.6346 0.07553356
1992 -0.870745 -1.582716 -4.898674 122.6465 0.07547043
1992 -0.870745 -1.582716 -4.898674 122.659 0.07547043
1992 -0.8707009 -1.582651 -4.898478 122.6702 0.0756316
1992 -0.8707009 -1.582651 -4.898478 122.6817 0.0756316
1992 -0.8707009 -1.582651 -4.898478 122.6934 0.0756316
1992 -0.8709305 -1.582562 -4.89844 122.7045 0.07580099
1992 -0.8709581 -1.58253 -4.898439 122.7163 0.07582577
1992 -0.8709586 -1.582502 -4.89844 122.7274 0.07583468
1992 -0.8709218 -1.582475 -4.898406 122.7392 0.075854
1992 -0.8709218 -1.582475 -4.898406 122.751 0.075854
1992 -0.8709218 -1.582475 -4.898406 122.7629 0.075854
1992 -0.8707421 -1.582213 -4.898156 122.7744 0.0760616
1992 -0.870683 -1.582443 -4.898379 122.7856 0.07577342
1992 -0.8707791 -1.582663 -4.898338 122.7985 0.07577829
1992 -0.8706661 -1.58204 -4.898184 122.8097 0.07606151
1992 -0.8706408 -1.582251 -4.898436 122.8216 0.07577297
1992 -0.870588 -1.582343 -4.898337 122.8335 0.07579722
1992 -0.8706353 -1.582277 -4.898212 122.8471 0.07594337
1992 -0.8706353 -1.582277 -4.898212 122.8593 0.07594337
1992 -0.8705066 -1.581969 -4.898133 122.871 0.07605318
1992 -0.8704434 -1.580994 -4.898032 122.8828 0.07644468
1992 -0.8702829 -1.580886 -4.898067 122.8951 0.0763809
1992 -0.8702617 -1.580246 -4.898137 122.9064 0.07654355
1992 -0.8703335 -1.579564 -4.898046 122.9181 0.07690003
1992 -0.869708 -1.57841 -4.898167 122.9295 0.07695312
1992 -0.869708 -1.57841 -4.898167 122.9418 0.07695312
1992 -0.8696411 -1.577017 -4.898112 122.954 0.07751431
1992 -0.8696411 -1.577017 -4.898112 122.9653 0.07751431
1992 -0.8693008 -1.57189 -4.897142 122.9778 0.08031389
1992 -0.8694006 -1.570128 -4.896674 122.9904 0.0815281
1992 -0.8695133 -1.568425 -4.896019 123.0045 0.08288635
1992 -0.8706635 -1.567093 -4.894784 123.0167 0.08495817
1992 -0.8703176 -1.563798 -4.8931 123.0286 0.08773247
1992 -0.870544 -1.560309 -4.890058 123.0411 0.09192843
1992 -0.87038 -1.559042 -4.888307 123.0538 0.09386334
1992 -0.87038 -1.559042 -4.888307 123.0654 0.09386334
1992 -0.8705905 -1.555944 -4.883951 123.0778 0.0989098
1992 -0.8710466 -1.554664 -4.881424 123.0896 0.1016962
1992 -0.8725589 -1.552122 -4.875758 123.1043 0.1079602
1992 -0.8738676 -1.551607 -4.873415 123.1175 0.1105177
