2023-05-31T13:42:27Z
 
Index_No. Position.x Position.y Position.z Time_Stamp Distance
1866 -0.8728366 -1.574275 -4.933541 215.0506 0.05724313
1866 -0.8731938 -1.574588 -4.933885 215.0633 0.05713705
1866 -0.8733446 -1.574481 -4.934041 215.075 0.05722956
1866 -0.8735436 -1.574702 -4.934147 215.0862 0.0571853
1866 -0.8735436 -1.574702 -4.934147 215.098 0.0571853
1866 -0.8739918 -1.57488 -4.93439 215.1093 0.05727579
1866 -0.8743562 -1.574941 -4.934498 215.1342 0.05744106
1866 -0.8747738 -1.575005 -4.934416 215.146 0.05772807
1866 -0.8754306 -1.574827 -4.934276 215.1589 0.05834531
1866 -0.8760276 -1.57447 -4.933762 215.1705 0.05919045
1866 -0.8764953 -1.5744 -4.933804 215.1826 0.05953586
1866 -0.876756 -1.574099 -4.933357 215.1943 0.0600861
1866 -0.876756 -1.574099 -4.933357 215.2058 0.0600861
1866 -0.8772793 -1.573593 -4.932576 215.2178 0.0610842
1866 -0.8777221 -1.573532 -4.932299 215.2311 0.06155073
1866 -0.8781729 -1.573593 -4.932095 215.2429 0.06192282
1866 -0.8784419 -1.572476 -4.931093 215.2544 0.06319021
1866 -0.8788549 -1.572398 -4.930961 215.2658 0.06357935
1866 -0.8791524 -1.572001 -4.93067 215.2773 0.06414037
1866 -0.8796241 -1.571963 -4.930328 215.289 0.06464421
1866 -0.8800676 -1.572035 -4.929889 215.3005 0.06511384
1866 -0.8803841 -1.570302 -4.928909 215.3123 0.06675664
1866 -0.8807747 -1.5701 -4.928329 215.3259 0.06740791
1866 -0.8814458 -1.5703 -4.928022 215.3377 0.06789915
1866 -0.8820851 -1.568887 -4.926714 215.3493 0.06974495
1866 -0.8820851 -1.568887 -4.926714 215.3612 0.06974495
1866 -0.8828608 -1.568027 -4.92536 215.3735 0.07140353
1866 -0.8832731 -1.567359 -4.924601 215.3853 0.07242451
1866 -0.8837214 -1.567019 -4.923805 215.426 0.07330596
1866 -0.8857651 -1.564549 -4.920063 215.4682 0.07792037
1866 -0.8887342 -1.560628 -4.91384 215.5071 0.08529761
1866 -0.8891273 -1.559153 -4.912077 215.5479 0.08732932
1866 -0.8930947 -1.551401 -4.901451 215.5881 0.1001186
1866 -0.8966342 -1.545282 -4.893755 215.6293 0.1101828
1866 -0.9013751 -1.537252 -4.882476 215.6689 0.1242734
1866 -0.9036186 -1.534271 -4.877673 215.7186 0.13018
1866 -0.9119466 -1.525503 -4.858211 215.7711 0.1520459
1866 -0.9183627 -1.520171 -4.842911 215.7842 0.168547
1866 -0.9196863 -1.519203 -4.839848 215.7962 0.1718398
1866 -0.921089 -1.51844 -4.83668 215.8079 0.1751482
1866 -0.922546 -1.517801 -4.833453 215.8202 0.1784715
1866 -0.9253502 -1.516502 -4.82691 215.8337 0.1851692
1866 -0.9268516 -1.515944 -4.823629 215.8489 0.1885436
1866 -0.9282983 -1.51539 -4.820379 215.8619 0.1918764
1866 -0.929808 -1.51506 -4.817014 215.8747 0.1952275
1866 -0.932874 -1.514728 -4.810465 215.8872 0.2017028
1866 -0.9359725 -1.514505 -4.803749 215.9004 0.2083205
1866 -0.9374512 -1.514523 -4.80026 215.914 0.2116566
1866 -0.9374512 -1.514523 -4.80026 215.9271 0.2116566
1866 -0.94008 -1.515296 -4.793302 215.9404 0.2178836
1866 -0.9425495 -1.515626 -4.785823 215.9544 0.2246974
1866 -0.9436554 -1.516246 -4.782179 215.9678 0.2278105
1866 -0.9458123 -1.517762 -4.77483 215.9821 0.2340185
1866 -0.946678 -1.518617 -4.771186 215.9956 0.2369971
1866 -0.9475558 -1.519715 -4.767451 216.0089 0.2399891
1866 -0.9475558 -1.519715 -4.767451 216.0222 0.2399891
1866 -0.9491579 -1.522934 -4.755974 216.0366 0.2489069
1866 -0.9495452 -1.52399 -4.752141 216.0505 0.251882
1866 -0.9505782 -1.52598 -4.744462 216.0642 0.2580801
1866 -0.9511879 -1.526423 -4.7404 216.0779 0.2616165
1866 -0.9525204 -1.529576 -4.733369 216.0918 0.2671877
1866 -0.9532483 -1.530614 -4.729779 216.1052 0.2702597
1866 -0.9536502 -1.531884 -4.726268 216.1194 0.2730766
