2023-06-15T14:20:15Z
 
Index_No. Position.x Position.y Position.z Time_Stamp Distance
1229 -0.8641523 -1.564154 -4.893702 938.5488 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.5628 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.5733 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.584 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.5948 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.6066 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.617 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.6279 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.6398 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.6508 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.6743 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.686 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.702 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.7139 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.7256 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.7488 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.7593 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.7727 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.7833 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.7942 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.8069 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.8167 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.8273 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.8391 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.8511 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.8621 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.8737 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.8836 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.8943 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.9066 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.9172 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.9274 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.9399 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.9502 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.9619 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.9731 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.9838 0.08478215
1229 -0.8641523 -1.564154 -4.893702 938.9941 0.08478215
1229 -0.8641523 -1.564154 -4.893702 939.0059 0.08478215
1229 -0.8641523 -1.564154 -4.893702 939.0178 0.08478215
1229 -0.8641523 -1.564154 -4.893702 939.0285 0.08478215
1229 -0.8641523 -1.564154 -4.893702 939.0397 0.08478215
1229 -0.8641523 -1.564154 -4.893702 939.0501 0.08478215
1229 -0.8641523 -1.564154 -4.893702 939.0615 0.08478215
1229 -0.8641523 -1.564154 -4.893702 939.0728 0.08478215
1229 -0.8641523 -1.564154 -4.893702 939.0834 0.08478215
1229 -0.8641523 -1.564154 -4.893702 939.095 0.08478215
1229 -0.8641523 -1.564154 -4.893702 939.1066 0.08478215
1229 -0.8641523 -1.564154 -4.893702 939.1163 0.08478215
1229 -0.8641523 -1.564154 -4.893702 939.1277 0.08478215
1229 -0.8641523 -1.564154 -4.893702 939.1392 0.08478215
1229 -0.8641523 -1.564154 -4.893702 939.1504 0.08478215
1229 -0.8641523 -1.564154 -4.893702 939.1611 0.08478215
