2023-08-03T17:07:04Z
 
Index_No. VRHandPos.x VRHandPos.y VRHandPos.z HandPos.x HandPos.y HandPos.z ElbowPos.x ElbowPos.y ElbowPos.z ShoulderPos.x ShoulderPos.y ShoulderPos.z Time_Stamp Distance
2195 0.4070941 1.394979 -4.169251 -0.711536 0.4763743 1.034523 -0.7466808 0.3702319 1.244321 -0.64145 0.6060592 1.302008 655.624 3.070565
2195 0.4067437 1.407061 -4.157073 -0.711536 0.4763743 1.034523 -0.7466808 0.3702319 1.244321 -0.64145 0.6060592 1.302008 655.6378 3.063311
2195 0.3671314 1.371715 -3.992937 -0.7266794 0.4666167 1.036153 -0.7529089 0.3726642 1.260149 -0.6412798 0.6086234 1.303486 655.6523 2.903337
2195 0.312376 1.326612 -3.827169 -0.7244471 0.4678593 1.037827 -0.7517967 0.3717984 1.265697 -0.6420442 0.609557 1.303659 655.6656 2.732396
2195 0.2744491 1.292068 -3.661353 -0.7115753 0.4762815 1.032385 -0.7471928 0.3667246 1.267646 -0.6456152 0.608611 1.302126 655.6792 2.575405
2195 0.2472728 1.264716 -3.502597 -0.7115753 0.4762815 1.032385 -0.7471928 0.3667246 1.267646 -0.6456152 0.608611 1.302126 655.6922 2.434355
2195 0.2078571 1.229302 -3.33855 -0.7119473 0.4739715 1.035173 -0.7476999 0.3655533 1.271338 -0.6460689 0.6080468 1.301069 655.7064 2.282529
2195 0.1680695 1.191578 -3.171713 -0.712389 0.4725509 1.03738 -0.7480796 0.3645314 1.273958 -0.6464906 0.6074446 1.300202 655.7209 2.131174
2195 0.1282154 1.154671 -3.005298 -0.712389 0.4725509 1.03738 -0.7480796 0.3645314 1.273958 -0.6464906 0.6074446 1.300202 655.735 1.984219
2195 0.08880222 1.119148 -2.840957 -0.7126917 0.4710965 1.039588 -0.7483618 0.3634893 1.276455 -0.6469895 0.6068204 1.299468 655.7479 1.844069
2195 0.04908621 1.082172 -2.674407 -0.7130107 0.4699702 1.042063 -0.7485995 0.3625253 1.278988 -0.6474767 0.6062462 1.29874 655.7635 1.70811
2195 0.009363472 1.045484 -2.50745 -0.7130107 0.4699702 1.042063 -0.7485995 0.3625253 1.278988 -0.6474767 0.6062462 1.29874 655.7771 1.579739
2195 -0.03003192 1.009894 -2.342808 -0.7129591 0.4689047 1.044579 -0.7489497 0.3616514 1.281376 -0.6479587 0.6056482 1.298178 655.7897 1.462682
2195 -0.06937563 0.9732392 -2.175651 -0.712376 0.4678107 1.047224 -0.7493909 0.3594517 1.282938 -0.6452657 0.6024328 1.294516 655.8031 1.356641
2195 -0.1081583 0.9365298 -2.008193 -0.712376 0.4678107 1.047224 -0.7493909 0.3594517 1.282938 -0.6452657 0.6024328 1.294516 655.817 1.266629
2195 -0.1476482 0.9010391 -1.843009 -0.7123324 0.4666969 1.05047 -0.7514175 0.3587748 1.285798 -0.6444349 0.6007438 1.290453 655.8303 1.195534
2195 -0.1870944 0.8644345 -1.674579 -0.7118316 0.4656917 1.053103 -0.751906 0.3581885 1.288284 -0.6449243 0.6002009 1.289199 655.8439 1.146545
2195 -0.226136 0.8279771 -1.506276 -0.7118316 0.4656917 1.053103 -0.751906 0.3581885 1.288284 -0.6449243 0.6002009 1.289199 655.8579 1.12393
2195 -0.2656076 0.7924918 -1.340327 -0.7113878 0.4646934 1.055399 -0.7522356 0.3577473 1.290551 -0.6452232 0.5997387 1.288458 655.8718 1.127668
2195 -0.3046355 0.7560081 -1.172082 -0.7107824 0.4639586 1.057494 -0.7525738 0.3573686 1.292434 -0.6454681 0.5992864 1.287961 655.8857 1.15937
2195 -0.3434398 0.7197433 -1.003785 -0.7099534 0.4634793 1.059577 -0.7529345 0.3569784 1.294055 -0.6457276 0.5988076 1.287634 655.8994 1.216336
2195 -0.3819434 0.6837084 -0.8352647 -0.7099534 0.4634793 1.059577 -0.7529345 0.3569784 1.294055 -0.6457276 0.5988076 1.287634 655.9124 1.295391
2195 -0.421167 0.6481526 -0.6685863 -0.7089569 0.4632646 1.061609 -0.7532619 0.3566655 1.295448 -0.6459501 0.598398 1.287359 655.9267 1.390574
2195 -0.459394 0.6123822 -0.4998755 -0.7089569 0.4632646 1.061609 -0.7532619 0.3566655 1.295448 -0.6459501 0.598398 1.287359 655.943 1.502418
2195 -0.4984653 0.5768508 -0.3329086 -0.7078862 0.4632276 1.063616 -0.753542 0.3563423 1.296674 -0.6461543 0.5979925 1.287242 655.9576 1.623858
2195 -0.5364657 0.5412822 -0.1639355 -0.7069205 0.4633463 1.065399 -0.7537312 0.3560665 1.29766 -0.6463248 0.5976661 1.287202 655.9716 1.75666
2195 -0.5743587 0.5059311 0.005168438 -0.706148 0.4634773 1.066937 -0.7538587 0.3558262 1.298517 -0.6464729 0.5973981 1.28724 655.987 1.896795
2195 -0.6122179 0.4706811 0.1743921 -0.706148 0.4634773 1.066937 -0.7538587 0.3558262 1.298517 -0.6464729 0.5973981 1.28724 656.0024 2.042748
2195 -0.6506193 0.4353999 0.3424527 -0.7057649 0.4636438 1.068155 -0.7538899 0.3556031 1.299235 -0.6465957 0.5971856 1.28733 656.0185 2.192012
2195 -0.6886373 0.4002852 0.5117315 -0.7057205 0.4637888 1.069081 -0.7538087 0.3554253 1.299879 -0.6466785 0.5970545 1.287456 656.0338 2.346223
2195 -0.7267414 0.3653386 0.6812817 -0.7059528 0.4639232 1.069712 -0.7536443 0.3553469 1.300417 -0.646695 0.5970365 1.287616 656.061 2.503667
2195 -0.764995 0.3306575 0.8513365 -0.706376 0.4640751 1.07006 -0.7533943 0.3553078 1.30079 -0.6466494 0.5970819 1.287879 656.0771 2.664019
2195 -0.7656338 0.3309617 0.852156 -0.7069694 0.4642177 1.069964 -0.7530403 0.3553614 1.300898 -0.6465481 0.5972582 1.2882 656.0914 2.66463
2195 -0.7666959 0.3312108 0.8521449 -0.7077031 0.4642808 1.069241 -0.7526057 0.3556059 1.300661 -0.6463357 0.5976315 1.288569 656.1079 2.66436
2195 -0.7681243 0.3312402 0.8510045 -0.7077031 0.4642808 1.069241 -0.7526057 0.3556059 1.300661 -0.6463357 0.5976315 1.288569 656.1235 2.662954
2195 -0.7690705 0.33093 0.8499128 -0.708801 0.4643569 1.067888 -0.7521284 0.3559234 1.30002 -0.6460376 0.5980869 1.289181 656.1405 2.661748
2195 -0.7701685 0.3310061 0.8485604 -0.7102665 0.4644948 1.0659 -0.7515447 0.3563556 1.298956 -0.6456642 0.5986865 1.28996 656.1556 2.660201
2195 -0.77303 0.3307647 0.8446067 -0.7121996 0.4648128 1.063334 -0.7508872 0.3569148 1.297464 -0.6452342 0.5994214 1.290842 656.1695 2.655821
2195 -0.7768019 0.3306209 0.8392743 -0.7145235 0.465463 1.060346 -0.7501588 0.3575657 1.295533 -0.644776 0.6002529 1.291889 656.1939 2.649907
2195 -0.781489 0.3308543 0.8328387 -0.7145235 0.465463 1.060346 -0.7501588 0.3575657 1.295533 -0.644776 0.6002529 1.291889 656.21 2.642684
2195 -0.784271 0.3306731 0.8288034 -0.7203029 0.4685395 1.052699 -0.7473583 0.3608766 1.290785 -0.6477205 0.6058331 1.299978 656.2352 2.638238
2195 -0.7900504 0.3337494 0.8211568 -0.7203029 0.4685395 1.052699 -0.7473583 0.3608766 1.290785 -0.6477205 0.6058331 1.299978 656.2502 2.629196
2195 -0.7928854 0.3312457 0.8054212 -0.7255607 0.4737031 1.04267 -0.7454565 0.3637689 1.281565 -0.6463938 0.607779 1.307286 656.2661 2.613782
2195 -0.7981432 0.3364094 0.7953916 -0.7255607 0.4737031 1.04267 -0.7454565 0.3637689 1.281565 -0.6463938 0.607779 1.307286 656.2935 2.602226
2195 -0.8047277 0.3396271 0.7780539 -0.728405 0.4765406 1.037995 -0.7449526 0.3654927 1.277322 -0.6456449 0.6086744 1.309206 656.309 2.583632
2195 -0.8075719 0.3424647 0.773379 -0.7337155 0.4825299 1.028469 -0.7442877 0.3695071 1.268875 -0.6441937 0.6105917 1.312181 656.3239 2.578107
2195 -0.8164756 0.350396 0.7572585 -0.7337155 0.4825299 1.028469 -0.7442877 0.3695071 1.268875 -0.6441937 0.6105917 1.312181 656.3391 2.559529
2195 -0.774864 0.4236665 0.8980623 -0.7362937 0.4851612 1.024089 -0.744 0.3715737 1.265313 -0.6435012 0.6117623 1.312487 656.3557 2.694941
2195 -0.7774422 0.4262979 0.8936816 -0.738601 0.4878758 1.020077 -0.743745 0.3734614 1.261896 -0.6428981 0.6126871 1.313051 656.3731 2.689856
2195 -0.8162997 0.381868 0.7785908 -0.7406442 0.4907426 1.01653 -0.7435618 0.3751445 1.258628 -0.6424011 0.6133574 1.313737 656.3903 2.575767
2195 -0.8546531 0.3420574 0.6675162 -0.7424967 0.4937025 1.013471 -0.7434405 0.3766635 1.255594 -0.6420265 0.6138769 1.314424 656.4174 2.466436
2195 -0.8900186 0.3095838 0.5671847 -0.7424967 0.4937025 1.013471 -0.7434405 0.3766635 1.255594 -0.6420265 0.6138769 1.314424 656.4343 2.368172
2195 -0.9197239 0.2817174 0.4825973 -0.7456462 0.4992116 1.007987 -0.7432944 0.3794991 1.250028 -0.6414341 0.6147501 1.315582 656.4501 2.286366
2195 -0.9228733 0.2872267 0.4771127 -0.7473878 0.5015609 1.005258 -0.7431778 0.3807932 1.247384 -0.6412287 0.615093 1.31613 656.4667 2.279439
2195 -0.9792066 0.2445465 0.3210166 -0.7473878 0.5015609 1.005258 -0.7431778 0.3807932 1.247384 -0.6412287 0.615093 1.31613 656.4815 2.128686
2195 -1.009231 0.2215315 0.2384882 -0.749061 0.5035906 1.002484 -0.7430603 0.3821086 1.244822 -0.6410162 0.6154442 1.316637 656.4969 2.050365
2195 -1.010904 0.2235612 0.2357141 -0.7505987 0.5055581 0.9998617 -0.7430268 0.3834326 1.242377 -0.6408186 0.6157771 1.317112 656.511 2.04695
2195 -1.044339 0.2014626 0.1457777 -0.7518679 0.5073316 0.9974386 -0.7431128 0.3847591 1.240129 -0.640663 0.6161268 1.317517 656.5257 1.961892
2195 -1.076391 0.1815109 0.05960768 -0.7518679 0.5073316 0.9974386 -0.7431128 0.3847591 1.240129 -0.640663 0.6161268 1.317517 656.5399 1.881262
2195 -1.104597 0.1622453 -0.01781201 -0.7530449 0.5089726 0.9953002 -0.7432573 0.3859568 1.238091 -0.6405608 0.6164302 1.317786 656.5541 1.810421
2195 -1.105774 0.1638863 -0.01995027 -0.7542247 0.5103737 0.993414 -0.7434335 0.3870129 1.236326 -0.640511 0.6167137 1.317937 656.5695 1.807748
2195 -1.131639 0.1498249 -0.08861184 -0.7553509 0.5115908 0.9917361 -0.7435937 0.3878914 1.234763 -0.6405271 0.6169536 1.317971 656.5845 1.744831
2195 -1.155116 0.137748 -0.1491396 -0.7553509 0.5115908 0.9917361 -0.7435937 0.3878914 1.234763 -0.6405271 0.6169536 1.317971 656.5986 1.689983
2195 -1.174681 0.1268118 -0.1996564 -0.7562581 0.5127829 0.9903299 -0.7437885 0.3886904 1.23338 -0.6405527 0.6171766 1.317951 656.6115 1.645153
2195 -1.175588 0.1280039 -0.2010627 -0.7569094 0.5138851 0.9890577 -0.7440276 0.3894498 1.232106 -0.6405942 0.617376 1.317938 656.6252 1.643331
2195 -1.191729 0.1215742 -0.2421393 -0.7569094 0.5138851 0.9890577 -0.7440276 0.3894498 1.232106 -0.6405942 0.617376 1.317938 656.6404 1.606398
2195 -1.204616 0.1155405 -0.27683 -0.7574496 0.5148445 0.9878056 -0.7442355 0.3901524 1.230863 -0.6406603 0.6175318 1.317965 656.6545 1.575809
2195 -1.205156 0.1164999 -0.2780822 -0.7580276 0.5156688 0.9864893 -0.7444601 0.3908522 1.229639 -0.6407459 0.6176667 1.318038 656.6675 1.574244
2195 -1.218258 0.1110099 -0.3145655 -0.758528 0.5164439 0.985119 -0.7446515 0.3915793 1.228405 -0.640808 0.6177949 1.318177 656.6823 1.542087
2195 -1.232854 0.1039302 -0.3557765 -0.758528 0.5164439 0.985119 -0.7446515 0.3915793 1.228405 -0.640808 0.6177949 1.318177 656.709 1.50654
2195 -1.247877 0.0951387 -0.3993655 -0.7589747 0.5173104 0.9838659 -0.7448453 0.3923508 1.227228 -0.6408563 0.6179589 1.31835 656.7239 1.470045
2195 -1.248324 0.09600523 -0.4006184 -0.7592412 0.5183351 0.9828786 -0.7450415 0.3930924 1.226157 -0.6409013 0.6181272 1.318515 656.7377 1.468519
2195 -1.262546 0.08947039 -0.4423625 -0.7594267 0.5195771 0.9822623 -0.7452191 0.3937306 1.2252 -0.6409525 0.6182638 1.318631 656.7516 1.433298
2195 -1.272545 0.08688089 -0.473048 -0.7594267 0.5195771 0.9822623 -0.7452191 0.3937306 1.2252 -0.6409525 0.6182638 1.318631 656.766 1.406746
2195 -1.277263 0.08822978 -0.4879624 -0.759538 0.5210371 0.9820498 -0.7454134 0.3942824 1.22442 -0.6410179 0.6183999 1.318701 656.7798 1.392727
2195 -1.277374 0.08968973 -0.488175 -0.759538 0.5210371 0.9820498 -0.7454134 0.3942824 1.22442 -0.6410179 0.6183999 1.318701 656.7928 1.391861
2195 -1.276783 0.09612694 -0.4871626 -0.759538 0.5210371 0.9820498 -0.7454134 0.3942824 1.22442 -0.6410179 0.6183999 1.318701 656.8083 1.389822
2195 -1.276783 0.09612694 -0.4871626 -0.759538 0.5210371 0.9820498 -0.7454134 0.3942824 1.22442 -0.6410179 0.6183999 1.318701 656.8217 1.389822
2195 -1.276783 0.09612694 -0.4871626 -0.759538 0.5210371 0.9820498 -0.7454134 0.3942824 1.22442 -0.6410179 0.6183999 1.318701 656.8354 1.389822
2195 -1.276783 0.09612694 -0.4871626 -0.759538 0.5210371 0.9820498 -0.7454134 0.3942824 1.22442 -0.6410179 0.6183999 1.318701 656.8489 1.389822
2195 -1.276783 0.09612694 -0.4871626 -0.759538 0.5210371 0.9820498 -0.7454134 0.3942824 1.22442 -0.6410179 0.6183999 1.318701 656.8636 1.389822
2195 -1.276783 0.09612694 -0.4871626 -0.759538 0.5210371 0.9820498 -0.7454134 0.3942824 1.22442 -0.6410179 0.6183999 1.318701 656.877 1.389822
2195 -1.276783 0.09612694 -0.4871626 -0.759538 0.5210371 0.9820498 -0.7454134 0.3942824 1.22442 -0.6410179 0.6183999 1.318701 656.8895 1.389822
2195 -1.276783 0.09612694 -0.4871626 -0.759538 0.5210371 0.9820498 -0.7454134 0.3942824 1.22442 -0.6410179 0.6183999 1.318701 656.94 1.389822
2195 -1.276783 0.09612694 -0.4871626 -0.759538 0.5210371 0.9820498 -0.7454134 0.3942824 1.22442 -0.6410179 0.6183999 1.318701 656.9556 1.389822
2195 -1.276783 0.09612694 -0.4871626 -0.7542871 0.5419934 0.9872563 -0.7478006 0.400526 1.219042 -0.6407033 0.6201406 1.320607 656.9689 1.389822
2195 -1.271532 0.1170831 -0.4819561 -0.7523938 0.548914 0.986846 -0.7485629 0.4039033 1.216122 -0.640124 0.6209171 1.321771 656.9835 1.385212
2195 -1.243384 0.2287851 -0.4563336 -0.7515252 0.5525006 0.9860949 -0.7490306 0.4059891 1.214286 -0.6397647 0.6213574 1.322422 656.999 1.364524
2195 -1.239486 0.2344895 -0.448765 -0.7508393 0.5560321 0.9851187 -0.749386 0.408149 1.212353 -0.6393754 0.6218171 1.323076 657.0168 1.369702
2195 -1.235881 0.2404183 -0.4421157 -0.7502648 0.5596123 0.9839563 -0.749724 0.410433 1.210325 -0.6389898 0.6222981 1.323758 657.032 1.373982
2195 -1.232639 0.246621 -0.43674 -0.7496719 0.5631477 0.982617 -0.7500138 0.4127864 1.208202 -0.6385834 0.622789 1.324382 657.0469 1.377006
2195 -1.229743 0.2529815 -0.4329851 -0.7496719 0.5631477 0.982617 -0.7500138 0.4127864 1.208202 -0.6385834 0.622789 1.324382 657.0635 1.378485
2195 -1.227874 0.2560017 -0.4295923 -0.7490159 0.5667262 0.9812127 -0.7502696 0.4151732 1.206015 -0.6381408 0.6232404 1.324974 657.0787 1.380745
2195 -1.225348 0.2626004 -0.4276035 -0.7482834 0.5703822 0.9797379 -0.7504997 0.4176301 1.203739 -0.6376904 0.623668 1.325552 657.0923 1.380529
2195 -1.223225 0.2695207 -0.4276015 -0.7466838 0.5739382 0.9778786 -0.7517934 0.4207632 1.201234 -0.6372353 0.6235575 1.3268 657.1064 1.378348
2195 -1.220742 0.2766341 -0.4300787 -0.7466838 0.5739382 0.9778786 -0.7517934 0.4207632 1.201234 -0.6372353 0.6235575 1.3268 657.1218 1.373834
2195 -1.220521 0.280479 -0.4340719 -0.762647 0.569353 0.9658489 -0.7575368 0.4272069 1.198588 -0.6345183 0.6226487 1.327758 657.1373 1.368823
2195 -1.236263 0.2797387 -0.4500948 -0.747043 0.5824888 0.9735768 -0.7532341 0.427067 1.196189 -0.636201 0.6244852 1.32789 657.1512 1.352881
2195 -1.234527 0.2917369 -0.4776281 -0.7467477 0.5862599 0.9717355 -0.7532337 0.4297725 1.193679 -0.6357214 0.6250746 1.328081 657.1654 1.323104
2195 -1.235848 0.300477 -0.4902724 -0.7467477 0.5862599 0.9717355 -0.7532337 0.4297725 1.193679 -0.6357214 0.6250746 1.328081 657.1801 1.308219
2195 -1.23837 0.3059728 -0.5043545 -0.7465705 0.5900251 0.9697038 -0.7531583 0.4325595 1.191109 -0.6352487 0.6256025 1.328396 657.1946 1.292976
2195 -1.240715 0.3152339 -0.5204681 -0.7463872 0.5936666 0.9675592 -0.7530183 0.4353504 1.188552 -0.6347865 0.6261019 1.328734 657.2079 1.274598
2195 -1.24432 0.3249686 -0.5411973 -0.7462901 0.5971819 0.9654141 -0.7528608 0.4380889 1.186091 -0.6343589 0.6265798 1.329075 657.2219 1.251638
2195 -1.249468 0.3352248 -0.5671649 -0.7462901 0.5971819 0.9654141 -0.7528608 0.4380889 1.186091 -0.6343589 0.6265798 1.329075 657.2356 1.223478
2195 -1.256339 0.3426919 -0.5967883 -0.7460822 0.6004454 0.9633012 -0.7526709 0.4406859 1.183717 -0.6339709 0.6270252 1.329333 657.2486 1.192682
2195 -1.263001 0.3534226 -0.6285244 -0.7458139 0.603552 0.9613653 -0.7525053 0.4430926 1.181476 -0.6336542 0.6273998 1.329534 657.2636 1.158864
2195 -1.271353 0.364858 -0.6665915 -0.7458139 0.603552 0.9613653 -0.7525053 0.4430926 1.181476 -0.6336542 0.6273998 1.329534 657.2774 1.118779
2195 -1.281617 0.3742166 -0.7091173 -0.7454017 0.6065043 0.9596388 -0.7523391 0.4453206 1.179377 -0.6333622 0.6277235 1.329675 657.2904 1.07514
2195 -1.29147 0.3865275 -0.7533696 -0.7448998 0.6094655 0.9581843 -0.7521613 0.4473657 1.177375 -0.6330931 0.6280103 1.32971 657.3041 1.02899
